iter	Passed	Remaining
0	152	152100
1	155	77582
2	159	52984
3	162	40479
4	166	33100
5	169	28088
6	172	24468
7	176	21830
8	179	19774
9	182	18065
10	185	16673
11	188	15514
12	191	14574
13	195	13735
14	197	13000
15	200	12347
16	202	11724
17	204	11177
18	207	10691
19	208	10218
20	210	9792
21	211	9406
22	213	9053
23	213	8694
24	214	8363
25	215	8055
26	215	7768
27	216	7501
28	216	7253
29	217	7021
30	217	6806
31	218	6603
32	219	6421
33	219	6244
34	220	6074
35	220	5916
36	221	5767
37	222	5626
38	222	5491
39	223	5361
40	223	5237
41	224	5119
42	224	5007
43	225	4900
44	226	4797
45	226	4699
46	227	4605
47	227	4515
48	228	4430
49	228	4347
50	229	4267
51	229	4191
52	230	4117
53	230	4046
54	231	3978
55	232	3913
56	232	3852
57	233	3792
58	234	3737
59	234	3680
60	235	3625
61	236	3572
62	236	3520
63	237	3469
64	237	3419
65	238	3372
66	238	3325
67	239	3280
68	239	3236
69	240	3194
70	241	3154
71	241	3114
72	242	3075
73	242	3037
74	243	2999
75	243	2963
76	244	2928
77	244	2894
78	245	2861
79	246	2829
80	246	2796
81	247	2766
82	247	2732
83	248	2705
84	248	2677
85	249	2649
86	249	2621
87	250	2594
88	250	2568
89	251	2542
90	251	2516
91	252	2491
92	253	2467
93	253	2443
94	254	2420
95	254	2397
96	255	2375
97	255	2353
98	256	2331
99	256	2310
100	257	2290
101	257	2270
102	258	2250
103	258	2230
104	259	2211
105	259	2192
106	260	2174
107	261	2156
108	261	2138
109	262	2121
110	262	2105
111	263	2088
112	264	2072
113	264	2056
114	265	2040
115	265	2024
116	266	2008
117	266	1993
118	267	1978
119	267	1963
120	268	1948
121	268	1933
122	269	1919
123	269	1905
124	270	1891
125	270	1878
126	271	1864
127	271	1851
128	272	1839
129	272	1826
130	273	1814
131	274	1806
132	275	1793
133	275	1781
134	276	1770
135	276	1758
136	277	1747
137	277	1736
138	278	1725
139	279	1714
140	279	1703
141	280	1692
142	280	1681
143	281	1671
144	281	1660
145	282	1650
146	282	1640
147	283	1630
148	283	1620
149	284	1611
150	284	1601
151	285	1592
152	285	1582
153	286	1573
154	286	1564
155	287	1555
156	287	1546
157	288	1537
158	289	1529
159	289	1520
160	289	1511
161	290	1502
162	291	1494
163	291	1486
164	292	1478
165	292	1470
166	293	1463
167	293	1455
168	294	1448
169	295	1440
170	295	1433
171	296	1425
172	296	1418
173	297	1410
174	297	1403
175	298	1396
176	298	1389
177	299	1382
178	299	1375
179	300	1368
180	300	1361
181	301	1354
182	302	1349
183	302	1342
184	303	1336
185	303	1330
186	304	1323
187	305	1317
188	305	1311
189	306	1304
190	306	1298
191	307	1292
192	307	1287
193	308	1281
194	309	1275
195	309	1269
196	310	1264
197	310	1258
198	311	1252
199	311	1246
200	312	1240
201	312	1235
202	313	1229
203	313	1224
204	314	1219
205	314	1213
206	315	1208
207	316	1203
208	316	1198
209	317	1193
210	317	1188
211	318	1183
212	318	1177
213	319	1172
214	319	1167
215	320	1162
216	320	1157
217	321	1152
218	321	1147
219	322	1143
220	323	1139
221	323	1135
222	324	1130
223	325	1126
224	325	1121
225	326	1117
226	326	1112
227	327	1108
228	327	1103
229	328	1099
230	328	1094
231	329	1090
232	330	1086
233	330	1082
234	331	1077
235	331	1073
236	332	1069
237	332	1065
238	333	1060
239	333	1056
240	334	1052
241	334	1048
242	335	1044
243	335	1040
244	336	1036
245	336	1032
246	337	1029
247	338	1025
248	338	1021
249	339	1017
250	339	1013
251	340	1010
252	340	1006
253	341	1002
254	341	998
255	342	994
256	342	991
257	343	987
258	343	984
259	344	980
260	345	977
261	345	973
262	346	970
263	346	966
264	347	963
265	347	959
266	348	956
267	348	952
268	349	949
269	349	945
270	350	942
271	350	938
272	351	935
273	351	932
274	352	929
275	353	926
276	353	923
277	354	920
278	354	916
279	355	913
280	355	910
281	356	907
282	356	904
283	357	901
284	358	898
285	358	895
286	359	892
287	360	890
288	360	888
289	361	885
290	362	882
291	363	880
292	363	877
293	364	875
294	365	872
295	365	869
296	366	867
297	367	865
298	367	862
299	368	860
300	369	857
301	369	854
302	370	852
303	371	849
304	371	846
305	372	844
306	372	841
307	373	838
308	373	836
309	374	833
310	375	830
311	375	828
312	376	825
313	376	822
314	377	820
315	377	817
316	378	814
317	378	812
318	379	809
319	379	807
320	380	804
321	380	802
322	381	799
323	382	797
324	382	794
325	383	792
326	383	790
327	384	787
328	384	785
329	385	782
330	385	780
331	386	777
332	387	775
333	387	773
334	388	770
335	388	768
336	389	765
337	389	763
338	390	761
339	390	758
340	391	756
341	391	753
342	392	751
343	392	749
344	393	747
345	394	744
346	394	742
347	395	740
348	395	737
349	396	735
350	396	733
351	397	731
352	397	729
353	398	727
354	399	725
355	399	722
356	400	720
357	400	718
358	401	716
359	401	714
