iter	Passed	Remaining
0	0	76
1	1	72
2	2	66
3	2	60
4	3	58
5	3	58
6	4	57
7	4	56
8	5	55
9	6	54
10	6	52
11	7	51
12	7	50
13	8	50
14	8	49
15	9	48
16	9	47
17	10	46
18	10	46
19	11	45
20	11	45
21	12	44
22	13	43
23	13	43
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	18	38
32	18	38
33	19	37
34	19	36
35	20	36
36	20	35
37	21	35
38	22	34
39	22	33
40	23	33
41	23	32
42	23	31
43	24	31
44	24	30
45	25	29
46	26	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	34	20
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	38	17
69	38	16
70	39	15
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
